strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,tp_rr,tp1_close_frac,tp_trail_pct,grid_max_adds,grid_spacing_pct,grid_size_multiplier,martingale_multiplier,martingale_max_steps,sl_atr_period,sl_atr_mult,rsi_period,rsi_low_th,rsi_high_th,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
stochastic,9.970274437562088,11.186173857407015,-10.195771240772478,17.175669984601186,0.8441350179906892,-0.9857028783228288,8.124908671298776,5.288780280497798,4.464711746026493,-0.2243414629837462,1.4269899945044449,-0.10014914129452414,0.08124908671298776,0.052887802804977985,402,462,True,80,,,pct,5.634639024120238,partial_trailing,pct,True,False,7.5537686136786855,grid,,0.7099776034118878,1.2570288095786226,1.0,0.2829818561784736,2.537050626797666,,,,,,,,,,,,26.0,4.0,21.35687791144243,92.19498719443125,20,25,5
rsi_reversion,7.061417419863081,3.643048890363313,-2.85613210727943,6.014277043857726,1.1319143618639216,-0.5104470831927517,13.879241385534751,4.9857442119021895,6.149922934135414,-1.087496893251419,1.2849461182869248,-0.2890059252796146,0.13879241385534752,0.0498574421190219,144,129,True,37,,,rr,,partial_trailing,pct,True,False,8.102522805504393,none,5.97497981013471,0.7857331895935441,2.408664681548041,,,,,,,,20.0,29.081025492041263,77.4672766592929,,,,,,,,,11,26,15
stochastic,-5.010892854519133,10.245013369945681,-1.4997808124279421,6.670909793297805,-0.6632249235824089,-0.21377550694122005,3.699113571850904,3.994702720275523,-0.25807025719155896,0.7853406336886896,-0.11446430608879164,0.43106098485823136,0.036991135718509045,0.03994702720275523,338,346,True,86,,,pct,2.606661585413258,full,pct,False,False,9.455168187791214,martingale,,,,,,,1.474749799272955,7.0,,,,,,,,,,10.0,9.0,25.785149963746846,85.39744075813796,27,27,0
rsi_reversion,-21.976017784390834,23.123086293424926,-25.184637487783178,26.010736531478106,-2.887934554045092,-4.191885957761581,6.428617510839263,3.839409723202934,-0.7159766453895523,-1.3540147595994045,-0.35309569867192775,-0.727390986104788,0.06428617510839264,0.038394097232029335,349,318,True,20,,,pct,8.95991901940101,partial_trailing,atr,False,True,,grid,,0.5542686681361241,0.08302379708837962,8.0,1.8841991071152093,2.979261424098823,,,39.0,5.071747040551717,26.0,23.209416802009635,71.81231261798338,,,,,,,,,23,28,5
stochastic,-39.989431948061785,40.51743730075541,-38.53106227221582,39.270767406190785,-3.3502305028213857,-3.770103929519174,4.201436035619884,3.7759086030104987,-1.2761954550239643,-1.1006907384713571,-1.3145381991293927,-1.2271861471756957,0.04201436035619884,0.037759086030104985,1203,1185,True,54,,,pct,5.322289482955948,partial_trailing,pct,True,False,3.0051780190795263,none,,0.848722444935466,1.4457961806791464,,,,,,,,,,,,,,,22.0,13.0,29.059223286120357,67.92808306298011,24,29,5
stochastic,-22.36236363367198,24.272316869177548,-21.527521560755993,22.0567239140742,-3.2420357765048955,-3.725380352641685,4.007713010363147,2.9371249840761995,-0.6717004466330518,-0.6166340197517179,-1.1685782749607803,-1.2229638278828412,0.04007713010363147,0.029371249840761993,1201,1169,True,92,,,pct,1.1327457884897674,full,pct,False,False,5.931443932098848,none,,,,,,,,,,,,,,,,,,38.0,7.0,27.339214450385533,75.81502508768857,26,30,4
rsi_reversion,0.27566022974971904,1.3299284310172945,0.06644401429538593,0.6723930545190145,0.28000077135949486,0.11151085329138305,4.060112582888513,1.7133662311733944,3.59273069704451,3.064867410842533,0.795143027005078,1.4062159310190305,0.04060112582888513,0.01713366231173394,25,21,True,94,,,pct,9.431214837767083,partial_trailing,pct,True,True,4.254732221857886,martingale,,0.18962778691398283,4.836226091114813,,,,2.3754354217278832,1.0,,,37.0,12.517817983242903,76.1064008410297,,,,,,,,,25,31,6
rsi_reversion,-26.299776931449358,27.559162093866885,-33.542138683148224,33.69310888396982,-3.5512437931782324,-5.848888852991593,2.8539516999474146,1.7056927421767845,0.36150567739026,-0.19065275967613862,0.593521411525124,-0.41692914259749914,0.028539516999474147,0.017056927421767846,1147,1220,True,73,,,pct,5.901275493592443,full,pct,False,True,2.559152460719921,none,,,,,,,,,,,35.0,38.861428949572016,87.42172972707115,,,,,,,,,30,32,2
rsi_reversion,-0.5042787051446229,2.3086113318376675,-2.163478203249547,2.974971691819865,-0.23204582330054718,-1.217050506057788,2.7263381162349645,1.6762022085168655,1.7244397122076047,0.8219513318137752,1.4784481996996885,0.9623756692606782,0.027263381162349644,0.016762022085168655,172,185,True,58,,,pct,5.837599425730697,full,pct,False,True,3.9563801882683194,none,,,,,,,,,,,17.0,15.166346666140791,79.33836843114325,,,,,,,,,31,33,2
stochastic,-13.658413638608613,20.537991098685183,8.999438887185217,12.88930769746545,-0.9898805526702666,0.8483223479901453,-90.22523433978643,1.6052095235387338,-23.023479816120034,15.632988949492965,-0.9736441855519405,0.6708211694034298,-0.9022523433978642,0.016052095235387337,56,51,True,56,,,pct,7.309341851257409,partial_trailing,pct,False,False,6.371944136532857,martingale,,0.39422650617540256,3.1799138614382185,,,,2.3626479759831582,1.0,,,,,,,,,,7.0,14.0,13.54583502421755,73.96929132376874,215,34,-181
