strategy,return_train_pct,dd_train_pct,dd_train_intrabar_pct,exec_reject_rate_train,exec_round_rate_train,return_test_pct,dd_test_pct,dd_test_intrabar_pct,exec_reject_rate_test,exec_round_rate_test,tested,liquidated_train,liquidated_test,peak_notional_pct_equity_train,peak_notional_pct_equity_test,peak_qty_mult_train,peak_qty_mult_test,cap_hit_rate_train,cap_hit_rate_test,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,martingale_max_loss_streak_train,martingale_max_loss_streak_test,martingale_max_step_used_train,martingale_max_step_used_test,martingale_max_multiplier_used_train,martingale_max_multiplier_used_test,grid_max_adds_used_train,grid_max_adds_used_test,grid_max_multiplier_used_train,grid_max_multiplier_used_test,fast_period,slow_period,tp_mode,tp_rr,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,sl_atr_period,sl_atr_mult,rsi_period,rsi_low_th,rsi_high_th,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,52,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.7170162773487566,0.4165210260837473,pct,False,False,3.178724984985056,,,,,,10.0,3.5386535711370852,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,57,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,full,,,atr,True,False,,46.0,0.8956571116524561,,,,10.0,3.069553456263406,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,65,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.8527021833925826,3.647404561048629,pct,False,True,2.601059232240206,,,,,,11.0,3.728933167950646,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,133,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.22102961750644196,4.993065953242197,pct,False,True,8.779938501343691,,,,,,14.0,3.7662489328692708,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,166,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.41093109437988173,3.765718070867774,pct,True,True,8.715546231756937,,,,,,14.0,3.7662489328692708,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,170,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.13873386489179274,4.862621941695338,pct,False,True,4.9458840262511155,,,,,,14.0,3.5811066020010545,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,172,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,full,,,pct,True,True,9.327980573605112,,,,,,11.0,3.700515589944219,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,176,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.17808221501280308,1.4805368917346138,atr,False,True,,14.0,3.4012719349755263,,,,14.0,3.6666216022480005,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,180,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,full,,,pct,True,True,4.168744450642914,,,,,,14.0,3.7662489328692708,,,,,,,4,,
bollinger_breakout,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,True,183,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,2.0,partial_trailing,0.6809818498467906,4.329794191067836,pct,False,True,8.307340276812157,,,,,,14.0,3.728933167950646,,,,,,,4,,
