strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,tested,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,tp_rr,martingale_multiplier,martingale_max_steps,rsi_period,rsi_low_th,rsi_high_th,sl_atr_period,sl_atr_mult,grid_max_adds,grid_spacing_pct,grid_size_multiplier,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
range_breakout,19.226939616169723,6.277960546517504,6.194877788090047,3.3585510721315424,True,1.5557714466657775,1.2313104416525267,2.80605125177281,23.970532769808955,10.107150093185748,14.158180203232291,1.8817684351865107,1.3568683249695366,0.0280605125177281,0.23970532769808953,242,51,True,1873,,,pct,3.481077015777262,full,,,pct,True,False,4.133904259448606,none,,,,,,,,,,,,,,204.0,0.32004273795386484,,,,,28,11,-17
range_breakout,8.962541055225559,3.1965379029808916,6.094112932947882,1.1310007707036507,True,1.6949027040471525,2.642617956368428,8.698046516152585,14.006394264403296,6.036504332439742,18.472632415228514,2.2319358517085246,3.0182954973251226,0.08698046516152586,0.14006394264403296,181,35,True,1351,,,pct,1.5828861782072017,partial_trailing,0.3660321595966658,2.5127192640485534,pct,True,False,7.7685950240548935,none,,,,,,,,,,,,,,204.0,0.32004273795386484,,,,,38,12,-26
ma_cross,12.505222435558828,10.755078674528884,5.32473807877587,6.009410135983663,True,0.8289811641055966,0.792377495217731,-11.203711439308371,-5.694936045329603,3.8308446666023084,4.121813321486153,1.6544850041820405,1.2768548015739316,-0.11203711439308371,-0.05694936045329604,750,237,True,1067,80.0,227.0,pct,6.432809709589719,full,,,pct,False,True,9.480761302617344,martingale,,2.930482044702881,1.0,,,,,,,,,,,,,,,,,33,13,-20
stochastic,92.67549478755537,11.94087335418754,3.6952045566601477,11.617708859628063,True,2.5361066370666068,0.32556416703223884,19.537128040168753,5.131343794376729,39.15845884846473,6.880805463589621,2.58663187130124,0.6410485589622015,0.19537128040168755,0.0513134379437673,271,113,True,1493,,,pct,5.460999540598971,full,,,pct,False,False,5.915725460272715,martingale,,3.449661340565468,2.0,,,,,,,,,,,,,28.0,8.0,26.323522890317253,92.19498719443125,6,14,8
stochastic,81.3391283568518,9.18027137390257,3.352956169302135,3.764906968017181,True,2.76480649521285,0.6470369965040027,8.574182824207778,6.467686755105612,34.3188936121349,4.3257375740713915,2.287280546255115,1.2391345505325755,0.08574182824207778,0.06467686755105613,261,128,True,863,,,rr,,full,,,pct,False,False,7.994902540099553,martingale,8.616019472656808,1.98328031626769,10.0,,,,,,,,,,,,,37.0,6.0,13.266763299468563,92.88098569005987,8,15,7
ma_cross,6.239447389137154,5.576645540597267,2.754316963456249,4.052432890672569,True,0.6148172167927207,0.5889879771770232,-8.722228496774381,-6.183024515630129,2.5632013959497546,2.8233614270474203,1.75051611385233,1.2106440178729307,-0.08722228496774381,-0.0618302451563013,735,225,True,1392,80.0,232.0,pct,3.343516365402726,partial_trailing,0.7122238268040065,4.1650544498463455,pct,True,True,7.180555807197184,martingale,,1.7321045127340617,1.0,,,,,,,,,,,,,,,,,45,16,-29
range_breakout,34.21948558699557,10.531663226692432,2.650787336168503,5.224494315426075,True,1.6855186269772362,0.4110417808478053,35.72056401739949,31.481422991962106,31.695924009542082,13.172984223771442,2.1376133141663134,0.5025007146735337,0.3572056401739949,0.31481422991962105,135,28,True,1870,,,pct,1.8136633539875,partial_trailing,0.7321385570027563,4.81902042173349,pct,False,False,8.936133967988157,grid,,,,,,,,,7.0,0.6196065214843495,1.7736633499894787,,,204.0,0.32004273795386484,,,,,21,17,-4
stochastic,52.32823279210492,6.529853017433498,2.3793616521469607,3.332017720033728,True,2.7312794526320947,0.5455714933619468,7.91143962644002,6.394973990975254,21.921851030147064,3.3114374156216897,2.493654407769036,1.0084697785490184,0.0791143962644002,0.06394973990975254,266,130,True,1483,,,rr,,full,,,pct,True,False,7.8781724776043305,martingale,3.9792150417116505,1.6424004387501425,8.0,,,,,,,,,,,,,37.0,6.0,13.266763299468563,92.88098569005987,15,18,3
rsi_reversion,67.00565990693343,14.44462073879247,1.354848786871643,9.706975328418578,True,2.0985862868600007,0.16461486839856873,12.393763636127197,4.072978450919648,44.837805270108184,9.48923551652598,1.8567281718649964,0.5031615141898629,0.12393763636127197,0.04072978450919648,161,56,True,798,,,rr,,partial_trailing,0.23803042165486873,1.1665283668094268,pct,False,False,8.971028988424777,martingale,9.057221399871306,2.6639981929113024,8.0,13.0,29.229746641180988,84.92633605937283,,,,,,,,,,,,,,9,19,10
ma_cross,1.5801690575319327,4.269899503353299,1.243264279317069,2.3552292680553597,True,0.27881402287005447,0.44706181544267537,-4.539856173690874,-3.109615335452243,1.0580714753894733,1.3471746808721945,1.196355412034,1.1287057731621588,-0.04539856173690873,-0.031096153354522427,663,219,True,1008,77.0,244.0,rr,,partial_trailing,0.3935257234321401,3.369187818249403,pct,False,False,9.877228521228087,none,8.446308763658116,,,,,,,,,,,,,,,,,,,55,20,-35
