strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,tested,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,martingale_max_loss_streak_train,martingale_max_loss_streak_test,martingale_max_step_used_train,martingale_max_step_used_test,martingale_max_multiplier_used_train,martingale_max_multiplier_used_test,grid_max_adds_used_train,grid_max_adds_used_test,grid_max_multiplier_used_train,grid_max_multiplier_used_test,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,tp_rr,martingale_multiplier,martingale_max_steps,rsi_period,rsi_low_th,rsi_high_th,sl_atr_period,sl_atr_mult,grid_max_adds,grid_spacing_pct,grid_size_multiplier,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
ma_cross,107.65837007547017,23.14602338223067,19.371995288125365,12.855114273658799,True,2.073333651313419,1.1694905165505123,-20.43864824844071,-8.000970292256918,20.398190248655897,11.7230758867784,2.5901099922716058,1.6238357352135735,-0.2043864824844071,-0.08000970292256918,799,256,True,1586,21,17,9,9,3829.4247742178845,3829.4247742178845,0,0,1.0,1.0,78.0,207.0,pct,6.04343760707938,partial_trailing,0.8169885382561705,2.3795457345206787,pct,True,True,7.707827157215093,martingale,,2.501070588757879,9.0,,,,,,,,,,,,,,,,,3,3,0
rsi_reversion,1.4837755512545625,0.0,-1.93595929784538,2.3038624273049755,True,1.0000032601059206,-1.5071144255007585,155.1460453023619,-99.33891304732511,155.1460453023619,-57.92026937082007,0.0,-1.6907037561039366,1.551460453023619,-0.9933891304732511,1,3,True,1246,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,pct,1.8558062651700493,full,,,pct,False,True,1.192884724357607,none,,,,39.0,18.83670951385629,89.00127820023857,,,,,,,,,,,,,,57,73,16
rsi_reversion,1.5677161920342852,0.02247099129610892,1.1221711968324888,0.9203842801195125,True,1.8231766401069187,0.6034392855221948,33.99332694495924,59.4250489890634,34.648889065724475,59.4250489890634,4.075221721700513,0.6689078188098118,0.33993326944959246,0.594250489890634,5,2,True,1656,0,1,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,,partial_trailing,0.8272260165325128,0.9394313889076978,pct,False,True,2.451678916746389,martingale,7.215084653884468,3.429917980402017,2.0,39.0,21.43032387531419,89.00127820023857,,,,,,,,,,,,,,56,21,-35
rsi_reversion,3.0674836549624995,0.024118779340166468,-2.6628215567851887,3.0617880571929708,True,2.0239055713641556,-2.0214710771086786,67.69514877665245,-42.33061115686823,69.01596612931786,-37.04632755314501,6.630900328077233,-2.0849179322883855,0.6769514877665245,-0.42330611156868225,5,6,True,1973,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,,partial_trailing,0.5167595921800393,4.631604931201724,atr,False,True,,none,0.8214447505513622,,,39.0,21.43032387531419,88.59838160760444,21.0,1.4442394749471092,,,,,,,,,,,,53,83,30
rsi_reversion,3.691304757748326,0.049957362961442854,-2.325581520274278,2.8148475423779202,True,1.8551113930253134,-1.9490664918216893,84.19857286713602,-40.763967368072315,81.7617053428545,-31.218080777911695,4.419755385115875,-1.823114891209487,0.8419857286713602,-0.4076396736807232,5,6,True,1950,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,,full,,,atr,True,True,,grid,8.923957339220275,,,39.0,21.43032387531419,88.59838160760444,52.0,2.067030182229491,2.0,2.390115238704933,1.4904186999190376,,,,,,,,,52,78,26
rsi_reversion,4.353083249916678,0.052673208624637,-2.316872950026805,2.718980621118644,True,2.1243007636302194,-1.8488004466134274,39.480892499355775,2.0019266142462984,55.95497822938464,-25.774908057817466,3.9062851419075577,-1.1533359583536757,0.39480892499355774,0.020019266142462983,9,7,True,1811,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,,partial_trailing,0.8284857705848404,4.761793036610707,pct,True,True,1.0771105735973434,none,7.911731344718195,,,39.0,22.110568008222614,85.47745876723309,,,,,,,,,,,,,,51,76,25
rsi_reversion,4.697384261795934,0.22193297341079787,-2.2621678156894864,2.9640827874932345,True,2.684244162398905,-1.6101331243601644,20.215932987852565,4.976190868805557,32.90170348547348,-22.14232548107666,5.207334894079607,-1.2922240574852102,0.20215932987852564,0.04976190868805557,17,8,True,934,0,2,0,2,1.0,8.535520228306874,0,0,1.0,1.0,,,rr,,full,,,pct,False,True,1.5599209444538054,martingale,1.791765494445081,2.9215612655405456,7.0,33.0,21.43032387531419,89.00127820023857,,,,,,,,,,,,,,50,75,25
rsi_reversion,5.376143779982279,0.2532374797069031,-2.325526326326033,3.058654710240807,True,2.6844376058306834,-1.6097125282666678,23.13581429494961,4.976303277054564,37.659551826107354,-22.483016776937085,5.213850039943088,-1.2746374157005884,0.2313581429494961,0.04976303277054564,17,8,True,1326,0,2,0,2,1.0,3.089545221679323,0,0,1.0,1.0,,,rr,,partial_trailing,0.26817469911377884,1.9173393992907726,pct,False,True,1.3669279541195787,martingale,2.0891923586619727,1.7577102211910025,5.0,33.0,21.43032387531419,89.06681263203518,,,,,,,,,,,,,,47,77,30
rsi_reversion,6.357426454294957,0.2981664362220368,-2.9069433218591456,3.2668775645776376,True,2.6847149816075135,-2.118064894407122,27.35634582954908,7.7987418570428435,44.53956978551947,-25.131352355563525,5.223161885366633,-1.3144401788202096,0.27356345829549084,0.07798741857042844,17,9,True,1989,0,2,0,2,1.0,2.73093592276962,0,0,1.0,1.0,,,rr,,partial_trailing,0.41544094853132585,1.7488572074988191,pct,False,True,1.1607588932477795,martingale,2.0623189984498547,1.6525543630300397,6.0,33.0,21.43032387531419,89.06681263203518,,,,,,,,,,,,,,44,84,40
rsi_reversion,6.840431375707023,0.39610510070239086,-2.5338242090461427,3.4704901881785517,True,3.1189811771783944,-1.660113585873238,17.735179072751812,9.896239791943188,29.5285336743039,-15.05100867954257,5.69352068175707,-1.172777523697387,0.17735179072751814,0.09896239791943187,28,12,True,910,1,2,1,2,1.7611235904226734,3.1015563007432485,0,0,1.0,1.0,,,rr,,full,,,pct,False,True,1.670924920414577,martingale,7.2917630121164745,1.7611235904226734,3.0,39.0,24.563684595958236,88.59838160760444,,,,,,,,,,,,,,43,79,36
