strategy,return_train_pct,dd_train_pct,dd_train_intrabar_pct,exec_reject_rate_train,exec_round_rate_train,return_test_pct,dd_test_pct,dd_test_intrabar_pct,exec_reject_rate_test,exec_round_rate_test,tested,liquidated_train,liquidated_test,peak_notional_pct_equity_train,peak_notional_pct_equity_test,peak_qty_mult_train,peak_qty_mult_test,cap_hit_rate_train,cap_hit_rate_test,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,martingale_max_loss_streak_train,martingale_max_loss_streak_test,martingale_max_step_used_train,martingale_max_step_used_test,martingale_max_multiplier_used_train,martingale_max_multiplier_used_test,grid_max_adds_used_train,grid_max_adds_used_test,grid_max_multiplier_used_train,grid_max_multiplier_used_test,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,grid_max_adds,grid_spacing_pct,grid_size_multiplier,tp_rr,martingale_multiplier,martingale_max_steps,sl_atr_period,sl_atr_mult,rsi_period,rsi_low_th,rsi_high_th,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
stochastic,0.6914994242722461,0.37217601042020443,0.3753782705097493,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,13.493154900836426,0.0,1.0,0.0,0.0,0.0,1.4990512337751956,0.0,70.3404435000001,0.0,70.3404435000001,0.0,0.0,0.0,0.703404435000001,0.0,1,0,False,190,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,pct,7.754319178882494,full,,,pct,False,False,7.283627179821575,none,,,,,,,,,,,,,,,,5.0,15.0,13.54583502421755,80.51350940377955,,,
stochastic,1.5153851113891559,0.3808687899316183,0.39035278184303646,0.0,1.0,0.015594729757761883,0.14271132994218477,0.15827045431406075,0.0,1.0,False,False,False,11.626578521740226,11.245552243107003,1.0,1.0,0.0,0.0,2.361926191524361,0.08273957502820652,38.96970965572436,2.5703586999999537,38.898254705482415,2.5703586999999537,100.70078525761639,0.0,0.3896970965572436,0.025703586999999535,4,1,False,271,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,pct,3.552186608060797,partial_trailing,0.4214254668622378,0.16441092780614544,pct,False,False,8.777331348206873,none,,,,,,,,,,,,,,,,38.0,15.0,9.205754462831829,92.19498719443125,,,
stochastic,2.1935713350907937,0.5864931161897815,0.5869441577170852,0.0,1.0,0.016794324354507673,0.15368675003245127,0.1704451046458962,0.0,1.0,False,False,False,12.853165159087457,12.110371298248108,1.0,1.0,0.0,0.0,2.511339217002746,0.08280950124617632,66.94671605700182,2.7680785999999498,63.71165376026863,2.7680785999999498,14.12281807649116,0.0,0.6694671605700182,0.0276807859999995,3,1,False,266,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,pct,7.029247427912411,partial_trailing,0.7169080528706206,4.955704247560288,pct,False,False,8.057816493787199,none,,,,,,,,,,,,,,,,38.0,15.0,9.205754462831829,92.19498719443125,,,
stochastic,2.307390281291055,0.7933140817343827,0.80027155914584,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,29.08855023933003,0.0,1.0,0.0,0.0,0.0,1.9260424506470886,0.0,233.3162292284154,0.0,233.3162292284154,0.0,0.0,0.0,2.3331622922841544,0.0,1,0,False,294,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,pct,8.486967240991032,partial_trailing,0.3994928899929697,0.8344796125581946,pct,False,False,3.5375253224514345,none,,,,,,,,,,,,,,,,5.0,15.0,13.54583502421755,92.39604556566145,,,
stochastic,3.361969346365501,2.083131156384205,2.063546004217309,0.0,1.0,-1.2603968667483478,1.3955660684339553,1.402220886179872,0.0,1.0,False,False,False,68.6513533242445,32.65968578222388,4.333333333333334,2.0,0.0,0.0,1.2156446197559652,-1.3301932014041518,7.234845300000031,-19.82423519999998,30.23122078682286,-34.47889473910363,1.3129100091849029,-2.6466253618699396,0.07234845300000031,-0.1982423519999998,10,3,False,17,0,0,0,0,1.0,1.0,2,1,1.0,1.0,,,rr,,partial_trailing,0.774914664980542,3.2041124694866174,pct,True,False,5.869463758606395,grid,2.0,2.6900768795184824,2.0861314682406626,0.9452667577644513,,,,,,,,,,,,26.0,6.0,17.62397704592487,92.19498719443125,,,
stochastic,3.688297040596744,4.356340627270406,4.432622420742187,0.0,1.0,1.081647603526914,0.5553075190772928,0.5662171748382713,0.0,1.0,False,False,False,125.76742173672737,23.641878613904442,1.0,1.0,0.0,0.0,0.6686397643175656,1.2282817496719933,37.029705300000366,58.18090069999994,55.3104563820746,58.18090069999994,0.6668582779924722,2.014071173429454,0.3702970530000037,0.5818090069999994,7,2,False,275,2,0,2,0,5.3590470875353935,1.0,0,0,1.0,1.0,,,rr,,full,,,pct,False,False,4.285529710314301,martingale,,,,1.7192333374687694,2.31496157366281,2.0,,,,,,,,,,36.0,14.0,9.205754462831829,80.37870589230641,,,
stochastic,7.938479897532824,4.448473021399002,4.753080265493267,0.0,1.0,-0.4545525105323023,1.8165675686103242,2.0195216926950383,0.0,1.0,False,False,False,245.88147925199024,87.58178513814174,14.05,5.05,0.0,0.0,1.2991493821741746,-0.2674771691812256,31.3169240560945,-36.90522521284514,136.85364992326865,-36.90522521284514,1.3402983823826982,0.0,0.313169240560945,-0.3690522521284514,6,1,False,153,0,0,0,0,1.0,1.0,3,2,1.0,1.0,,,rr,,partial_trailing,0.7214748689057033,2.9364807611271977,pct,False,False,5.435218324566312,grid,3.0,2.640581082328723,2.8670335106343714,0.3046226793007125,,,,,,,,,,,,26.0,13.0,17.62397704592487,92.19498719443125,,,
stochastic,8.337052103357557,4.500277943009917,4.532551809576706,0.0,1.0,2.91383077437648,1.7437093193909334,1.5614093593040173,0.0,1.0,False,False,False,101.21897058211802,100.87923355741073,1.0,1.0,0.0,0.0,1.4122788656484295,1.0481326045549144,-104.6683584032982,61.49722460000004,123.79644729064826,106.22955971878291,0.9277449543703088,0.9537002842311569,-1.046683584032982,0.6149722460000004,5,3,False,286,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,pct,6.739432725091382,partial_trailing,0.8775350878773539,3.3267576423848872,pct,False,False,1.0053570033408659,none,,,,,,,,,,,,,,,,27.0,15.0,9.205754462831829,90.67607215050887,,,
stochastic,13.703124588753845,4.716324637557985,4.855484170560883,0.0,1.0,1.0680240568863963,0.5348511232898077,0.5453501560289054,0.0,1.0,False,False,False,178.86212099997684,22.765817790577017,1.0,1.0,0.0,0.0,1.4824492285329578,1.2343374380211654,10.037652299999856,57.38536289999996,107.14400082199094,57.38536289999996,1.1098619260477145,1.9040169977317645,0.10037652299999857,0.5738536289999996,13,2,False,220,2,0,2,0,7.566133090427404,1.0,0,0,1.0,1.0,,,pct,6.022062552163054,full,,,pct,True,False,4.383710987679642,martingale,,,,,2.75066048258003,5.0,,,,,,,,,,32.0,14.0,9.205754462831829,76.82593993879179,,,
stochastic,22.847952592325683,7.358763633776514,7.677284302411589,0.0,1.0,0.502191021913978,1.1339553338164599,1.2073822649148767,0.0,1.0,False,False,False,275.6417221198084,89.32738305870122,9.060606060606062,3.25,0.0,0.0,1.767291864784973,0.36019841420093335,228.0703747998653,58.27443046168995,719.0266408238011,58.27443046168995,1.700053806910276,0.0,2.280703747998653,0.5827443046168995,3,1,False,235,0,0,0,0,1.0,1.0,5,2,1.0,1.0,,,pct,9.891619229553491,partial_trailing,0.3097203341385677,4.375180990360801,pct,False,False,3.5837705449584782,grid,5.0,0.5013774960207892,1.234302549048022,,,,,,,,,,,,,26.0,13.0,9.899950027300171,92.19498719443125,,,
